以字节形式返回输入插座的哈希值。,Returns the hash of an input socket as bytes.
如果活动节点是面包师节点，则返回活动节点，否则返回 None。,Returns the active node if it is a baker node or None otherwise.
BakerNode 上用作按钮的操作符基类。,Base class for operators used as buttons on a BakerNode.
将此节点的输入烘焙到其目标,Bake this nodes input to its target
取消,Cancel
选定烘焙,Bake Selected
烘焙选定的烘焙节点,Bake the selected baker nodes
静音所有面包师（切换）,Mute All Bakers (Toggle)
静音/取消静音此节点树中的所有烘焙节点,Mutes/unmutes all Baker nodes in this node tree
将烘焙器转换为内置,Convert Bakers to Built-in
刷新预览,Refresh Preview
更新此节点,Updates this node
添加遮罩设置,Add Masking Setup
创建缺失目标,Create Missing Targets
自动添加新图像或顶点属性 ,Automatically add a new image or vertex attribute 
自动目标域,Auto Target Domain
自动创建颜色的元素类型 ,Type of element that automatically created color 
始终使用浮点,Always Use Float
在以下情况下始终使用 32 位浮点色彩属性 ,Always use 32 bit floating point color attributes when 
始终使用 32 位浮点图像 ,Always use 32 bit floating point images when 
自动目标尺寸,Auto Target Size
自动创建图像的宽度和高度。,The width and height of an automatically created image. 
背景烘焙,Bake in Background
如果支持，在后台执行烘焙,Perform baking in the background if supported
设备,Device
烘焙时 Cycles 应使用的设备,The device Cycles should use when baking
默认样本,Default Samples
烘焙时使用的默认样本数,Default number of samples to use for baking
预览缓存,Cache Previews
维护预览的每帧缓存。允许 ,Maintains a per-frame cache of previews. Allows for 
最大预览尺寸,Max Preview Size
预览图像的最大宽度或高度,The maximum width or height of a preview image
预览更新间隔,Preview Update Interval
检查烘焙节点是否在后台烘焙预览的频率,How often to check if a Baker node
在后台烘焙预览,Bake Previews in Background
尽可能在后台烘焙预览图像,Bake previews in the background if possible
预览样本,Preview Samples
用于烘焙预览的样本数,Number of samples to use for baking previews
使用 NumPy,Use NumPy
允许插件在某些操作中使用 NumPy,Allows the add-on to use NumPy for certain operations
自动目标设置,Automatic Target Settings
图像,Images
图像大小,Image Size
颜色属性,Color Attributes
域,Domain
如果要自动更新节点预览，则设置为 True。,True if node previews should be updated automatically.
返回 Baker 节点插件的首选项,Returns the preferences for the Baker Node addon
返回 BakerNode 的 ImagePreview 或 None。,Returns the ImagePreview for a BakerNode or None.
删除此节点的所有缓存预览数据。,Deletes all cached preview data for this node.
Returns whether id_props can currently be written to for id_data.,Returns whether id_props can currently be written to for id_data.
返回以 x 和 y 为偏移量的节点位置。,Returns the location of node offset by x and y.
将图像保存到磁盘。,Saves an image to disk.
返回图像是否有 alpha 通道。,Returns whether image has an alpha channel.
保留所有更改。,Keep all changes.
将所有属性还原为原始值。,Revert all attributes to their original values.
